,biExclusiveLevel,brand_name,category,imageAltText,isAppExclusive,isBI,isBest,isFirstAccess,isLimitedEdition,isLimitedTimeOffer,isNatural,isNew,isOnlineOnly,isOrganic,isSephoraExclusive,listPrice,salePrice,skuId,skuType,valuePrice
88,none,MAKE UP FOR EVER,/shop/foundation-makeup,MAKE UP FOR EVER - Water Blend Face & Body Foundation,False,False,False,False,False,False,False,False,False,False,False,$43.00,,1856335,Standard,
89,none,beautyblender,/shop/foundation-makeup,beautyblender - Bounce™ Liquid Whip Long Wear Foundation,False,False,False,False,False,False,False,False,False,False,True,$40.00,,2172955,Standard,
90,none,Hourglass,/shop/foundation-makeup,Hourglass - Illusion® Hyaluronic Skin Tint,False,False,False,False,False,False,False,False,False,False,False,$56.00,,1621291,Standard,
91,none,Charlotte Tilbury,/shop/foundation-makeup,Charlotte Tilbury - Magic Foundation,False,False,False,False,False,False,False,False,False,False,False,$44.00,,2137065,Standard,
92,none,Dior,/shop/foundation-makeup,Dior - Diorskin Forever Undercover Foundation,False,False,False,False,False,False,False,False,False,False,False,$52.00,,2037133,Standard,
93,none,IT Cosmetics,/shop/foundation-makeup,IT Cosmetics - Bye Bye Redness Neutralizing Color-Correcting Cream,False,False,False,False,False,False,False,False,False,False,False,$32.00,,1868231,Standard,
94,none,CLINIQUE,/shop/foundation-makeup,CLINIQUE - Beyond Perfecting Foundation + Concealer,False,False,False,False,False,False,False,False,False,False,False,$29.50,,2166825,Standard,
95,none,KEVYN AUCOIN,/shop/foundation-makeup,KEVYN AUCOIN - Foundation Balm,False,False,False,False,False,False,False,True,False,False,False,$52.00,,2266575,Standard,
96,none,COVER FX,/shop/foundation-makeup,COVER FX - Natural Finish Foundation,False,False,False,False,False,False,False,False,False,False,True,$42.00,,1487420,Standard,
97,none,Estée Lauder,/shop/foundation-makeup,Estée Lauder - Double Wear Stay-in-Place Matte Powder Foundation,False,False,False,False,False,False,False,False,True,False,False,$43.00,,2179604,Standard,
98,none,Laura Mercier,/shop/foundation-makeup,Laura Mercier - Mineral Powder,False,False,False,False,False,False,False,False,False,False,False,$42.00,,999037,Standard,
99,none,TOM FORD,/shop/foundation-makeup,TOM FORD - Traceless Foundation Stick,False,False,False,False,False,False,False,False,False,False,False,$88.00,,2183788,Standard,
100,none,Laura Mercier,/shop/foundation-makeup,Laura Mercier - Silk Crème Oil Free Photo Edition Foundation,False,False,False,False,False,False,False,False,False,False,False,$48.00,,1677616,Standard,
101,none,CLINIQUE,/shop/foundation-makeup,CLINIQUE - Moisture Surge CC Cream Hydrating Colour Corrector Broad Spectrum SPF 30,False,False,False,False,False,False,False,False,False,False,False,$39.50,,1509512,Standard,
102,none,bareMinerals,/shop/foundation-makeup,bareMinerals - Prime Time  BB Tinted Primer Broad Spectrum SPF 30,False,False,False,False,False,False,False,False,False,False,False,$27.00,,1576859,Standard,
103,none,Guerlain,/shop/foundation-makeup,Guerlain - Lingerie De Peau Natural Perfection Foundation SPF 20,False,False,False,False,False,False,False,False,False,False,False,$63.00,,1861426,Standard,
104,none,Bobbi Brown,/shop/foundation-makeup,Bobbi Brown - Sheer Finish Pressed Setting Powder,False,False,False,False,False,False,False,False,True,False,False,$42.00,,1287481,Standard,
105,none,Bobbi Brown,/shop/foundation-makeup,Bobbi Brown - BB Cream SPF 35,False,False,False,False,False,False,False,False,False,False,False,$48.00,,1458496,Standard,
106,none,CLINIQUE,/shop/foundation-makeup,CLINIQUE - Stay-Matte Oil-Free Makeup,False,False,False,False,False,False,False,False,False,False,False,$28.50,,1411172,Standard,
107,none,Dior,/shop/foundation-makeup,Dior - Capture Dreamskin Fresh & Perfect Cushion Broad Spectrum SPF 50,False,False,False,False,False,False,False,False,False,False,False,$82.00,,2145340,Standard,
108,none,Giorgio Armani Beauty,/shop/foundation-makeup,Giorgio Armani Beauty - Luminous Silk Powder Foundation,False,False,False,False,False,False,False,False,False,False,False,$62.00,,1755453,Standard,
109,none,Yves Saint Laurent,/shop/foundation-makeup,Yves Saint Laurent - TOUCHE ECLAT All-In-One Glow,False,False,False,False,False,False,False,False,False,False,False,$48.00,,2038701,Standard,
110,none,Urban Decay,/shop/foundation-makeup,Urban Decay - Naked Skin One & Done Hybrid Foundation,False,False,False,False,False,False,False,False,False,False,False,$36.00,,1814508,Standard,
111,none,Josie Maran,/shop/foundation-makeup,Josie Maran - Vibrancy Argan Oil Foundation Fluid,False,False,False,False,False,False,False,False,False,False,True,$45.00,,1795897,Standard,
112,none,Givenchy,/shop/foundation-makeup,Givenchy - Teint Couture Everwear Foundation,False,False,False,False,False,False,False,False,False,False,False,$52.00,,2193936,Standard,
113,none,Smashbox,/shop/foundation-makeup,Smashbox - Camera Ready CC Cream Broad Spectrum SPF 30 Dark Spot Correcting,False,False,False,False,False,False,False,False,False,False,False,$42.00,,1497007,Standard,
114,none,CLINIQUE,/shop/foundation-makeup,CLINIQUE - Acne Solutions Liquid Makeup,False,False,False,False,False,False,False,False,False,False,False,$29.50,,1237213,Standard,
115,none,bareMinerals,/shop/foundation-makeup,bareMinerals - COMPLEXION RESCUE Hydrating Foundation Stick Broad Spectrum SPF 25,False,False,False,False,False,False,False,False,False,False,False,$32.00,,2176774,Standard,
116,none,Bobbi Brown,/shop/foundation-makeup,Bobbi Brown - Skin Weightless Powder Foundation,False,False,False,False,False,False,False,False,False,False,False,$50.00 - $52.00,,1646215,Standard,
