,1 star,2 stars,3 stars,4 stars,5 stars,avg_rating,product_id,review_count
1434,12,15,17,47,94,4.1,1948207,185 reviews
1435,34,36,22,33,94,3.5,1971928,219 reviews
1436,1,4,1,15,43,4.5,1425727,64 reviews
1437,8,3,8,21,42,4,1835503,82 reviews
1438,18,29,42,119,239,4.2,685891,447 reviews
1439,3,1,5,11,19,4.1,1978386,39 reviews
1440,18,11,11,27,66,3.8,1648518,133 reviews
1441,5,5,6,29,61,4.3,2139632,106 reviews
1442,7,12,7,12,39,3.8,2071819,77 reviews
1443,72,72,85,169,189,3.6,1192889,587 reviews
1444,4,2,0,12,18,4.1,2139574,36 reviews
1445,19,19,26,27,87,3.8,2211977,178 reviews
1446,21,9,17,68,98,4,2119758,213 reviews
1447,1,0,1,0,4,4,2142131,6 reviews
1448,1,6,3,9,31,4.3,1975184,50 reviews
1449,3,0,1,2,9,3.9,2194090,15 reviews
1450,9,13,15,30,84,4.1,1956796,151 reviews
1451,304,313,481,"1,175","2,646",4.1,2086783,"4,919 reviews"
1452,4,3,4,11,40,4.3,2071280,62 reviews
1453,6,3,2,5,43,4.3,1726405,59 reviews
1454,30,20,17,42,107,3.8,2086833,216 reviews
1455,1,1,3,4,11,4.2,1673441,20 reviews
1456,5,6,9,11,35,4,1776236,66 reviews
1457,3,6,7,10,34,4.1,469254,60 reviews
1458,34,43,79,158,416,4.2,1341098,730 reviews
1459,0,3,6,5,8,3.8,1862515,22 reviews
1460,5,6,4,8,10,3.4,1751916,33 reviews
1461,11,14,11,24,69,4,1732221,129 reviews
1462,3,1,4,3,4,3.3,2213866,15 reviews
1463,1,0,0,0,2,3.7,1975119,3 reviews
1464,4,2,1,6,22,4.1,1901479,35 reviews
1465,1,0,2,1,5,4,1950500,9 reviews
1466,2,0,0,0,2,3,1926542,4 reviews
1467,59,32,41,94,538,4.3,1908458,764 reviews
1468,89,55,49,103,387,3.9,1823657,683 reviews
1469,30,8,12,33,91,3.8,1927714,174 reviews
1470,67,32,54,170,586,4.3,1262575,909 reviews
1471,9,8,9,14,41,3.9,2152114,81 reviews
1472,41,16,16,62,253,4.2,1633106,388 reviews
1473,25,17,17,35,64,3.6,1886027,158 reviews
1474,3,1,1,0,12,4,2207215,17 reviews
1475,1,2,0,0,8,4.1,2073518,11 reviews
1476,0,0,0,0,2,5,2264323,2 reviews
1477,26,32,24,30,42,3.2,2225845,154 reviews
1478,28,32,86,289,"1,337",4.6,1890615,"1,772 reviews"
1479,9,16,23,25,49,3.7,2144632,122 reviews
1480,0,0,0,0,1,5,2031730,1 review
1481,1,1,0,2,7,4.2,2143477,11 reviews
1482,0,2,2,4,9,4.2,1707504,17 reviews
1483,4,15,12,47,136,4.4,1953835,214 reviews
1484,8,6,27,77,279,4.5,1849686,397 reviews
1485,9,5,20,70,102,4.2,1849439,206 reviews
1486,24,28,100,345,599,4.3,1664267,"1,096 reviews"
1487,6,3,21,18,93,4.3,2244564,141 reviews
1488,10,7,13,43,73,4.1,2129922,146 reviews
1489,726,710,"1,093","2,989","9,003",4.3,1890623,"14,521 reviews"
1490,136,158,337,"1,044","3,380",4.5,1900083,"5,055 reviews"
1491,31,35,59,68,380,4.3,2012748,573 reviews
1492,455,359,558,"1,969","5,950",4.4,1296060,"9,291 reviews"
1493,0,1,0,3,9,4.5,2245835,13 reviews
1494,15,26,34,120,342,4.4,1858042,537 reviews
1495,10,16,32,44,172,4.3,1853548,274 reviews
1496,22,32,44,102,325,4.3,2116879,525 reviews
1497,7,5,5,11,65,4.3,1750165,93 reviews
1498,52,63,113,283,"1,146",4.5,2178283,"1,657 reviews"
1499,179,246,367,823,"2,646",4.3,2173714,"4,261 reviews"
1500,37,38,65,91,318,4.1,2148690,549 reviews
1501,44,36,134,379,589,4.2,2198620,"1,182 reviews"
1502,44,37,64,188,865,4.5,1965524,"1,198 reviews"
1503,49,68,154,928,"2,881",4.6,2026664,"4,080 reviews"
1504,136,158,337,"1,044","3,380",4.5,1807791,"5,055 reviews"
1505,7,15,25,31,315,4.6,2187953,393 reviews
1506,87,95,157,339,"1,441",4.4,2156487,"2,119 reviews"
1507,23,38,123,379,590,4.3,2067544,"1,153 reviews"
1508,1,2,13,79,248,4.7,2104354,343 reviews
1509,6,2,3,16,50,4.3,2149193,77 reviews
1510,11,13,11,36,154,4.4,1797539,225 reviews
1511,81,135,212,565,"1,684",4.4,1888759,"2,677 reviews"
1512,70,106,204,"1,008","4,010",4.6,1906544,"5,398 reviews"
1513,9,4,13,26,148,4.5,1987171,200 reviews
1514,0,0,0,0,1,5,2273373,1 review
1515,24,20,35,77,145,4,1764406,301 reviews
1516,139,133,195,418,"1,324",4.2,2001576,"2,209 reviews"
1517,382,398,434,877,"1,798",3.9,2036408,"3,889 reviews"
1518,45,54,136,665,"2,010",4.6,1778794,"2,910 reviews"
1519,27,49,59,125,519,4.4,2121234,779 reviews
1520,2,3,9,4,13,3.7,2244606,31 reviews
1521,20,32,42,113,315,4.3,2062446,522 reviews
1522,85,90,157,477,"1,724",4.4,1827633,"2,533 reviews"
1523,7,12,14,108,354,4.6,2184745,495 reviews
1524,29,36,59,155,706,4.5,1905603,985 reviews
1525,50,96,167,565,"1,665",4.5,2148385,"2,543 reviews"
