brand_name,category,imageAltText,isLimitedEdition,isNew,isOnlineOnly,isSephoraExclusive,listPrice,salePrice,skuId,skuType,valuePrice,review_count,target
CLINIQUE,foundation-makeup,CLINIQUE - Superpowder Double Face Makeup,False,False,False,False,28.5,0.0,51904,Standard,,132,0
MAKE UP FOR EVER,foundation-makeup,MAKE UP FOR EVER - Water Blend Face & Body Foundation,False,False,False,False,43.0,0.0,1856335,Standard,,116,0
beautyblender,foundation-makeup,beautyblender - Bounce™ Liquid Whip Long Wear Foundation,False,False,False,True,40.0,0.0,2172955,Standard,,186,0
Hourglass,foundation-makeup,Hourglass - Illusion® Hyaluronic Skin Tint,False,False,False,False,56.0,0.0,1621291,Standard,,368,0
Charlotte Tilbury,foundation-makeup,Charlotte Tilbury - Magic Foundation,False,False,False,False,44.0,0.0,2137065,Standard,,26,0
Dior,foundation-makeup,Dior - Diorskin Forever Undercover Foundation,False,False,False,False,52.0,0.0,2037133,Standard,,87,0
IT Cosmetics,foundation-makeup,IT Cosmetics - Bye Bye Redness Neutralizing Color-Correcting Cream,False,False,False,False,32.0,0.0,1868231,Standard,,136,0
CLINIQUE,foundation-makeup,CLINIQUE - Beyond Perfecting Foundation + Concealer,False,False,False,False,29.5,0.0,2166825,Standard,,461,0
KEVYN AUCOIN,foundation-makeup,KEVYN AUCOIN - Foundation Balm,False,True,False,False,52.0,0.0,2266575,Standard,,1,0
COVER FX,foundation-makeup,COVER FX - Natural Finish Foundation,False,False,False,True,42.0,0.0,1487420,Standard,,304,0
Estée Lauder,foundation-makeup,Estée Lauder - Double Wear Stay-in-Place Matte Powder Foundation,False,False,True,False,43.0,0.0,2179604,Standard,,5,0
Laura Mercier,foundation-makeup,Laura Mercier - Mineral Powder,False,False,False,False,42.0,0.0,999037,Standard,,316,0
TOM FORD,foundation-makeup,TOM FORD - Traceless Foundation Stick,False,False,False,False,88.0,0.0,2183788,Standard,,25,0
Laura Mercier,foundation-makeup,Laura Mercier - Silk Crème Oil Free Photo Edition Foundation,False,False,False,False,48.0,0.0,1677616,Standard,,438,0
CLINIQUE,foundation-makeup,CLINIQUE - Moisture Surge CC Cream Hydrating Colour Corrector Broad Spectrum SPF 30,False,False,False,False,39.5,0.0,1509512,Standard,,148,0
bareMinerals,foundation-makeup,bareMinerals - Prime Time  BB Tinted Primer Broad Spectrum SPF 30,False,False,False,False,27.0,0.0,1576859,Standard,,61,0
Guerlain,foundation-makeup,Guerlain - Lingerie De Peau Natural Perfection Foundation SPF 20,False,False,False,False,63.0,0.0,1861426,Standard,,211,0
Bobbi Brown,foundation-makeup,Bobbi Brown - Sheer Finish Pressed Setting Powder,False,False,True,False,42.0,0.0,1287481,Standard,,45,0
Bobbi Brown,foundation-makeup,Bobbi Brown - BB Cream SPF 35,False,False,False,False,48.0,0.0,1458496,Standard,,134,0
CLINIQUE,foundation-makeup,CLINIQUE - Stay-Matte Oil-Free Makeup,False,False,False,False,28.5,0.0,1411172,Standard,,255,0
Dior,foundation-makeup,Dior - Capture Dreamskin Fresh & Perfect Cushion Broad Spectrum SPF 50,False,False,False,False,82.0,0.0,2145340,Standard,,24,0
Giorgio Armani Beauty,foundation-makeup,Giorgio Armani Beauty - Luminous Silk Powder Foundation,False,False,False,False,62.0,0.0,1755453,Standard,,35,0
Yves Saint Laurent,foundation-makeup,Yves Saint Laurent - TOUCHE ECLAT All-In-One Glow,False,False,False,False,48.0,0.0,2038701,Standard,,100,0
Urban Decay,foundation-makeup,Urban Decay - Naked Skin One & Done Hybrid Foundation,False,False,False,False,36.0,0.0,1814508,Standard,,185,0
Josie Maran,foundation-makeup,Josie Maran - Vibrancy Argan Oil Foundation Fluid,False,False,False,True,45.0,0.0,1795897,Standard,,307,0
Givenchy,foundation-makeup,Givenchy - Teint Couture Everwear Foundation,False,False,False,False,52.0,0.0,2193936,Standard,,14,0
Smashbox,foundation-makeup,Smashbox - Camera Ready CC Cream Broad Spectrum SPF 30 Dark Spot Correcting,False,False,False,False,42.0,0.0,1497007,Standard,,215,0
CLINIQUE,foundation-makeup,CLINIQUE - Acne Solutions Liquid Makeup,False,False,False,False,29.5,0.0,1237213,Standard,,297,0
bareMinerals,foundation-makeup,bareMinerals - COMPLEXION RESCUE Hydrating Foundation Stick Broad Spectrum SPF 25,False,False,False,False,32.0,0.0,2176774,Standard,,339,0
