,1 star,2 stars,3 stars,4 stars,5 stars,avg_rating,product_id,review_count
252,75,122,231,659,"3,865",4.6,1721240,"4,952 reviews"
253,153,181,212,458,"1,910",4.3,1483502,"2,914 reviews"
254,8,18,20,33,238,4.5,2116044,317 reviews
255,80,135,212,565,"1,684",4.4,222117,"2,676 reviews"
256,163,206,350,770,"2,686",4.3,2209344,"4,175 reviews"
257,2,4,8,18,84,4.5,2115939,116 reviews
258,112,36,27,36,93,2.9,2218725,304 reviews
259,69,93,125,281,"1,107",4.4,1606086,"1,675 reviews"
260,2,13,23,132,477,4.7,2224954,647 reviews
261,63,77,148,605,"2,468",4.6,1164771,"3,361 reviews"
262,65,31,32,54,150,3.6,2067809,332 reviews
263,1,1,2,8,64,4.8,2201226,76 reviews
264,28,32,86,289,"1,337",4.6,1890615,"1,772 reviews"
265,63,117,194,432,955,4.2,1475540,"1,761 reviews"
266,10,19,21,45,192,4.4,1833508,287 reviews
267,85,113,157,330,660,4,1629500,"1,345 reviews"
268,47,53,89,202,862,4.4,825802,"1,253 reviews"
269,18,31,73,207,673,4.5,1808377,"1,002 reviews"
270,0,1,2,1,21,4.7,2222834,25 reviews
271,26,26,34,84,300,4.3,2055986,470 reviews
272,9,18,32,85,642,4.7,1993948,786 reviews
273,26,13,20,9,48,3.3,2221380,116 reviews
274,9,8,12,58,192,4.5,1636828,279 reviews
275,14,27,68,347,"1,227",4.6,2207710,"1,683 reviews"
276,0,0,1,0,4,4.6,2242782,5 reviews
277,3,5,9,20,47,4.2,2201408,84 reviews
278,54,69,112,241,"1,126",4.4,1904820,"1,602 reviews"
279,29,18,51,117,712,4.6,1522184,927 reviews
280,23,42,69,181,686,4.5,1925775,"1,001 reviews"
281,0,1,1,1,9,4.5,2219608,12 reviews
282,7,16,17,40,321,4.6,2105120,401 reviews
283,38,43,64,120,390,4.2,1578285,655 reviews
284,0,0,2,2,21,4.8,2235679,25 reviews
285,17,12,32,49,145,4.1,1782069,255 reviews
286,22,22,50,123,419,4.4,1289511,636 reviews
287,2,0,4,4,11,4,1992395,21 reviews
288,42,61,124,365,"1,275",4.5,650226,"1,867 reviews"
289,8,13,28,149,478,4.6,1972793,676 reviews
290,10,8,7,20,104,4.3,2058642,149 reviews
291,20,26,63,157,241,4.1,2139780,507 reviews
292,38,63,83,144,276,3.9,2017507,604 reviews
293,25,19,27,57,220,4.2,2028082,348 reviews
294,3,10,8,19,47,4.1,2187060,87 reviews
295,0,3,2,5,27,4.5,2172799,37 reviews
296,5,5,19,61,359,4.7,2211092,449 reviews
297,461,604,877,"2,183","6,940",4.3,2172310,"11,065 reviews"
298,62,92,116,229,816,4.3,1925577,"1,315 reviews"
299,98,104,148,341,"1,458",4.4,2223089,"2,149 reviews"
300,63,112,156,298,729,4.1,1925841,"1,358 reviews"
301,196,219,264,484,"1,374",4,1713155,"2,537 reviews"
302,2,4,8,18,84,4.5,2115939,116 reviews
303,48,97,106,250,655,4.2,1587435,"1,156 reviews"
304,63,77,148,605,"2,468",4.6,1164771,"3,361 reviews"
305,1,1,2,8,64,4.8,2201226,76 reviews
306,16,10,7,22,94,4.1,2221893,149 reviews
307,6,25,20,92,502,4.6,1697275,645 reviews
308,8,3,6,16,70,4.3,1848548,103 reviews
309,85,113,157,330,660,4,1629500,"1,345 reviews"
310,3,8,13,31,55,4.2,2115954,110 reviews
311,9,8,12,58,192,4.5,1636828,279 reviews
312,19,6,10,26,69,3.9,2187847,130 reviews
313,123,177,271,539,"1,224",4.1,1615186,"2,334 reviews"
314,8,13,28,149,478,4.6,1972793,676 reviews
315,5,11,30,59,209,4.5,1994789,314 reviews
